Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,44.200001,44.316666,43.700001,43.950001,43.146511,494102
2018-05-09,44.000000,44.250000,43.716667,44.133331,43.326488,511517
2018-05-10,44.250000,44.333332,43.133331,43.283333,42.492027,525113
2018-05-11,43.333332,43.500000,42.366665,42.649998,41.870274,504347
2018-05-14,43.000000,43.000000,41.466667,41.849998,41.084900,773192
2018-05-15,41.333332,42.633331,40.000000,40.233334,39.497791,2750534
2018-05-16,40.133331,41.133331,37.516666,40.566666,39.825027,3175343
2018-05-17,40.599998,42.216667,39.533333,41.783333,41.019451,1149908
2018-05-18,42.000000,42.200001,40.366665,40.549999,39.808670,494633
2018-05-21,40.833332,40.833332,38.799999,39.216667,38.499710,544112
2018-05-22,38.666664,39.750000,38.250000,39.049999,38.336090,1046537
2018-05-23,38.816666,39.533333,38.666664,38.916664,38.205193,734798
2018-05-24,39.000000,39.250000,38.416664,38.683331,37.976124,532142
2018-05-25,38.700001,39.833332,38.500000,39.516666,38.794224,547643
2018-05-28,39.649998,41.750000,39.599998,41.166664,40.414059,1109441
2018-05-29,41.299999,41.616665,40.566666,40.966667,40.217716,636785
2018-05-30,39.500000,40.049999,38.983334,39.683331,38.957844,1220885
2018-05-31,40.000000,40.000000,37.700001,38.049999,37.354374,4735160
2018-06-01,38.166664,38.599998,36.750000,37.133331,36.454464,1016657
2018-06-04,37.133331,38.166664,36.666664,37.316666,36.634449,1465802
2018-06-05,37.333332,38.066666,37.000000,37.616665,36.928963,765923
2018-06-06,37.400002,38.950001,37.400002,38.716667,38.008850,733013
2018-06-07,39.466667,40.666664,38.766666,40.516666,39.775948,1116815
2018-06-08,40.149998,40.166664,39.366665,39.533333,38.810585,557258
2018-06-11,39.666664,40.433334,39.366665,39.599998,38.876034,635108
2018-06-12,39.916664,40.599998,39.500000,40.433334,39.694134,739835
2018-06-13,40.649998,40.666664,39.566666,39.766666,39.039658,712640
2018-06-14,39.500000,39.599998,38.516666,38.683331,37.976124,822818
2018-06-15,38.933334,39.666664,38.533333,39.000000,38.287006,1464422
